Gene_ID	Gene_ID_new	ko	pathway
TRINITY_DN16911_c1_g1	2491	ko01100	Metabolic pathways
TRINITY_DN16911_c1_g1	2491	ko03020	RNA polymerase
TRINITY_DN66875_c0_g1	10241	ko00500	Starch and sucrose metabolism
TRINITY_DN66875_c0_g1	10241	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN66875_c0_g1	10241	ko01100	Metabolic pathways
TRINITY_DN66875_c0_g1	10241	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN36941_c0_g1	4997	ko03013	RNA transport
TRINITY_DN4496_c0_g1	11684	ko00196	Photosynthesis - antenna proteins
TRINITY_DN13048_c0_g1	4657	ko04075	Plant hormone signal transduction
TRINITY_DN51016_c1_g1	6952	ko04130	SNARE interactions in vesicular transport
TRINITY_DN41021_c0_g1	4334	ko04075	Plant hormone signal transduction
TRINITY_DN94549_c0_g1	6860	ko03010	Ribosome
TRINITY_DN5227_c0_g1	4053	ko00053	Ascorbate and aldarate metabolism
TRINITY_DN5227_c0_g1	4053	ko01100	Metabolic pathways
TRINITY_DN9438_c0_g1	2538	ko00260	Glycine, serine and threonine metabolism
TRINITY_DN9438_c0_g1	2538	ko00460	Cyanoamino acid metabolism
TRINITY_DN9438_c0_g1	2538	ko00630	Glyoxylate and dicarboxylate metabolism
TRINITY_DN9438_c0_g1	2538	ko00670	One carbon pool by folate
TRINITY_DN9438_c0_g1	2538	ko01100	Metabolic pathways
TRINITY_DN9438_c0_g1	2538	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN9438_c0_g1	2538	ko01200	Carbon metabolism
TRINITY_DN9438_c0_g1	2538	ko01230	Biosynthesis of amino acids
TRINITY_DN32343_c0_g1	2793	ko00561	Glycerolipid metabolism
TRINITY_DN32343_c0_g1	2793	ko01100	Metabolic pathways
TRINITY_DN58040_c0_g1	8773	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis
TRINITY_DN58040_c0_g1	8773	ko00270	Cysteine and methionine metabolism
TRINITY_DN58040_c0_g1	8773	ko00350	Tyrosine metabolism
TRINITY_DN58040_c0_g1	8773	ko00360	Phenylalanine metabolism
TRINITY_DN58040_c0_g1	8773	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
TRINITY_DN58040_c0_g1	8773	ko00950	Isoquinoline alkaloid biosynthesis
TRINITY_DN58040_c0_g1	8773	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis
TRINITY_DN58040_c0_g1	8773	ko01100	Metabolic pathways
TRINITY_DN58040_c0_g1	8773	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN58040_c0_g1	8773	ko01230	Biosynthesis of amino acids
TRINITY_DN998_c0_g1	8633	ko04144	Endocytosis
TRINITY_DN21383_c2_g1	4835	ko03010	Ribosome
TRINITY_DN37291_c0_g1	6251	ko03040	Spliceosome
TRINITY_DN5863_c0_g1	10461	ko00010	Glycolysis / Gluconeogenesis
TRINITY_DN5863_c0_g1	10461	ko00030	Pentose phosphate pathway
TRINITY_DN5863_c0_g1	10461	ko00051	Fructose and mannose metabolism
TRINITY_DN5863_c0_g1	10461	ko00052	Galactose metabolism
TRINITY_DN5863_c0_g1	10461	ko01100	Metabolic pathways
TRINITY_DN5863_c0_g1	10461	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN5863_c0_g1	10461	ko01200	Carbon metabolism
TRINITY_DN5863_c0_g1	10461	ko01230	Biosynthesis of amino acids
TRINITY_DN5863_c0_g1	10461	ko03018	RNA degradation
TRINITY_DN51381_c0_g1	10053	ko00260	Glycine, serine and threonine metabolism
TRINITY_DN51381_c0_g1	10053	ko00630	Glyoxylate and dicarboxylate metabolism
TRINITY_DN51381_c0_g1	10053	ko01100	Metabolic pathways
TRINITY_DN51381_c0_g1	10053	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN51381_c0_g1	10053	ko01200	Carbon metabolism
TRINITY_DN67246_c0_g1	11641	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
TRINITY_DN67246_c0_g1	11641	ko01100	Metabolic pathways
TRINITY_DN67246_c0_g1	11641	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN67246_c0_g1	11641	ko01230	Biosynthesis of amino acids
TRINITY_DN24980_c0_g1	11780	ko04146	Peroxisome
TRINITY_DN1189_c0_g1	920	ko00970	Aminoacyl-tRNA biosynthesis
TRINITY_DN3871_c0_g1	332	ko03420	Nucleotide excision repair
TRINITY_DN7784_c0_g1	5503	ko03008	Ribosome biogenesis in eukaryotes
TRINITY_DN116966_c0_g1	12965	ko04146	Peroxisome
TRINITY_DN24692_c4_g1	8829	ko04145	Phagosome
TRINITY_DN18582_c0_g1	2079	ko00062	Fatty acid elongation
TRINITY_DN18582_c0_g1	2079	ko01040	Biosynthesis of unsaturated fatty acids
TRINITY_DN18582_c0_g1	2079	ko01100	Metabolic pathways
TRINITY_DN18582_c0_g1	2079	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN18582_c0_g1	2079	ko01212	Fatty acid metabolism
TRINITY_DN29793_c0_g1	7640	ko00780	Biotin metabolism
TRINITY_DN29793_c0_g1	7640	ko01100	Metabolic pathways
TRINITY_DN45891_c0_g1	9472	ko04075	Plant hormone signal transduction
TRINITY_DN2126_c0_g1	8239	ko04075	Plant hormone signal transduction
TRINITY_DN49357_c0_g1	7122	ko00061	Fatty acid biosynthesis
TRINITY_DN2126_c0_g3	8241	ko04075	Plant hormone signal transduction
TRINITY_DN3113_c0_g1	3544	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN15448_c0_g4	1179	ko00053	Ascorbate and aldarate metabolism
TRINITY_DN15448_c0_g4	1179	ko01100	Metabolic pathways
TRINITY_DN13747_c0_g1	6035	ko04075	Plant hormone signal transduction
TRINITY_DN15256_c0_g1	10357	ko04144	Endocytosis
TRINITY_DN15256_c0_g1	10357	ko04145	Phagosome
TRINITY_DN15448_c0_g1	1181	ko00053	Ascorbate and aldarate metabolism
TRINITY_DN15448_c0_g1	1181	ko01100	Metabolic pathways
TRINITY_DN15448_c0_g3	1183	ko00053	Ascorbate and aldarate metabolism
TRINITY_DN15448_c0_g3	1183	ko01100	Metabolic pathways
TRINITY_DN15448_c0_g2	1182	ko00053	Ascorbate and aldarate metabolism
TRINITY_DN15448_c0_g2	1182	ko01100	Metabolic pathways
TRINITY_DN5934_c0_g1	5722	ko00564	Glycerophospholipid metabolism
TRINITY_DN5934_c0_g1	5722	ko00592	alpha-Linolenic acid metabolism
TRINITY_DN5934_c0_g1	5722	ko01100	Metabolic pathways
TRINITY_DN5934_c0_g1	5722	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN167669_c1_g1	13116	ko04120	Ubiquitin mediated proteolysis
TRINITY_DN15939_c0_g1	11870	ko00460	Cyanoamino acid metabolism
TRINITY_DN15939_c0_g1	11870	ko00500	Starch and sucrose metabolism
TRINITY_DN15939_c0_g1	11870	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN15939_c0_g1	11870	ko01100	Metabolic pathways
TRINITY_DN15939_c0_g1	11870	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN42423_c0_g1	5480	ko03013	RNA transport
TRINITY_DN42423_c0_g1	5480	ko03015	mRNA surveillance pathway
TRINITY_DN69045_c0_g1	6670	ko00500	Starch and sucrose metabolism
TRINITY_DN69045_c0_g1	6670	ko01100	Metabolic pathways
TRINITY_DN2028_c0_g1	734	ko04146	Peroxisome
TRINITY_DN7534_c0_g1	7393	ko00030	Pentose phosphate pathway
TRINITY_DN7534_c0_g1	7393	ko01100	Metabolic pathways
TRINITY_DN7534_c0_g1	7393	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN7534_c0_g1	7393	ko01200	Carbon metabolism
TRINITY_DN7534_c0_g1	7393	ko01230	Biosynthesis of amino acids
TRINITY_DN45591_c1_g1	6436	ko04075	Plant hormone signal transduction
TRINITY_DN39286_c0_g1	4453	ko04075	Plant hormone signal transduction
TRINITY_DN1873_c0_g1	10017	ko03018	RNA degradation
TRINITY_DN2164_c0_g1	8216	ko00480	Glutathione metabolism
TRINITY_DN16745_c0_g1	11753	ko03015	mRNA surveillance pathway
TRINITY_DN64194_c0_g1	3123	ko03008	Ribosome biogenesis in eukaryotes
TRINITY_DN5874_c0_g4	10477	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN77047_c0_g1	3847	ko03015	mRNA surveillance pathway
TRINITY_DN5874_c0_g1	10478	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN30120_c0_g1	1758	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN30120_c0_g1	1758	ko01100	Metabolic pathways
TRINITY_DN30120_c0_g1	1758	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN5874_c0_g3	10480	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN18120_c0_g1	3755	ko04016	MAPK signaling pathway - plant
TRINITY_DN19670_c0_g1	4958	ko03040	Spliceosome
TRINITY_DN12573_c0_g1	7810	ko03015	mRNA surveillance pathway
TRINITY_DN33794_c0_g1	8784	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN10445_c0_g1	2196	ko03013	RNA transport
TRINITY_DN1883_c0_g1	10013	ko00053	Ascorbate and aldarate metabolism
TRINITY_DN1883_c0_g1	10013	ko00480	Glutathione metabolism
TRINITY_DN1883_c0_g1	10013	ko01100	Metabolic pathways
TRINITY_DN28733_c0_g1	93	ko00270	Cysteine and methionine metabolism
TRINITY_DN28733_c0_g1	93	ko00920	Sulfur metabolism
TRINITY_DN28733_c0_g1	93	ko01100	Metabolic pathways
TRINITY_DN28733_c0_g1	93	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN28733_c0_g1	93	ko01200	Carbon metabolism
TRINITY_DN28733_c0_g1	93	ko01230	Biosynthesis of amino acids
TRINITY_DN15383_c0_g1	5746	ko04075	Plant hormone signal transduction
TRINITY_DN21190_c0_g1	9256	ko00600	Sphingolipid metabolism
TRINITY_DN21190_c0_g1	9256	ko01100	Metabolic pathways
TRINITY_DN15508_c0_g1	1266	ko00350	Tyrosine metabolism
TRINITY_DN15508_c0_g1	1266	ko01100	Metabolic pathways
TRINITY_DN11025_c0_g1	6567	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis
TRINITY_DN11025_c0_g1	6567	ko00360	Phenylalanine metabolism
TRINITY_DN11025_c0_g1	6567	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN11025_c0_g1	6567	ko01100	Metabolic pathways
TRINITY_DN11025_c0_g1	6567	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN4721_c1_g1	142	ko03040	Spliceosome
TRINITY_DN214969_c0_g1	13620	ko04145	Phagosome
TRINITY_DN5435_c0_g3	2129	ko00061	Fatty acid biosynthesis
TRINITY_DN5435_c0_g3	2129	ko00780	Biotin metabolism
TRINITY_DN5435_c0_g3	2129	ko01100	Metabolic pathways
TRINITY_DN5435_c0_g3	2129	ko01212	Fatty acid metabolism
TRINITY_DN18761_c0_g1	9742	ko04144	Endocytosis
TRINITY_DN10557_c0_g1	9812	ko04144	Endocytosis
TRINITY_DN371_c0_g1	10310	ko03040	Spliceosome
TRINITY_DN100869_c0_g1	12633	ko00790	Folate biosynthesis
TRINITY_DN1261_c0_g1	8419	ko00562	Inositol phosphate metabolism
TRINITY_DN1261_c0_g1	8419	ko04070	Phosphatidylinositol signaling system
TRINITY_DN1261_c0_g1	8419	ko04145	Phagosome
TRINITY_DN56928_c1_g1	2910	ko01100	Metabolic pathways
TRINITY_DN68567_c2_g1	9873	ko00010	Glycolysis / Gluconeogenesis
TRINITY_DN68567_c2_g1	9873	ko00260	Glycine, serine and threonine metabolism
TRINITY_DN68567_c2_g1	9873	ko01100	Metabolic pathways
TRINITY_DN68567_c2_g1	9873	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN68567_c2_g1	9873	ko01200	Carbon metabolism
TRINITY_DN68567_c2_g1	9873	ko01230	Biosynthesis of amino acids
TRINITY_DN123491_c0_g1	12489	ko03008	Ribosome biogenesis in eukaryotes
TRINITY_DN123491_c0_g1	12489	ko03013	RNA transport
TRINITY_DN15153_c0_g4	2765	ko03040	Spliceosome
TRINITY_DN15153_c0_g4	2765	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN15153_c0_g4	2765	ko04144	Endocytosis
TRINITY_DN25562_c0_g1	3960	ko03040	Spliceosome
TRINITY_DN11866_c0_g2	3617	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN11866_c0_g2	3617	ko01100	Metabolic pathways
TRINITY_DN11866_c0_g2	3617	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN15153_c0_g1	2766	ko03040	Spliceosome
TRINITY_DN15153_c0_g1	2766	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN15153_c0_g1	2766	ko04144	Endocytosis
TRINITY_DN15153_c0_g2	2767	ko03040	Spliceosome
TRINITY_DN15153_c0_g2	2767	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN15153_c0_g2	2767	ko04144	Endocytosis
TRINITY_DN15153_c0_g3	2768	ko03040	Spliceosome
TRINITY_DN15153_c0_g3	2768	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN15153_c0_g3	2768	ko04144	Endocytosis
TRINITY_DN41908_c0_g1	8848	ko03018	RNA degradation
TRINITY_DN61096_c0_g1	2157	ko00040	Pentose and glucuronate interconversions
TRINITY_DN61096_c0_g1	2157	ko01100	Metabolic pathways
TRINITY_DN6042_c0_g1	1235	ko04146	Peroxisome
TRINITY_DN11733_c0_g1	7979	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN24247_c0_g1	10270	ko00562	Inositol phosphate metabolism
TRINITY_DN24247_c0_g1	10270	ko01100	Metabolic pathways
TRINITY_DN24247_c0_g1	10270	ko04070	Phosphatidylinositol signaling system
TRINITY_DN23100_c0_g1	7314	ko00562	Inositol phosphate metabolism
TRINITY_DN23100_c0_g1	7314	ko01100	Metabolic pathways
TRINITY_DN23100_c0_g1	7314	ko04070	Phosphatidylinositol signaling system
TRINITY_DN28471_c4_g1	9296	ko04626	Plant-pathogen interaction
TRINITY_DN2287_c0_g1	11048	ko00020	Citrate cycle (TCA cycle)
TRINITY_DN2287_c0_g1	11048	ko00310	Lysine degradation
TRINITY_DN2287_c0_g1	11048	ko00380	Tryptophan metabolism
TRINITY_DN2287_c0_g1	11048	ko01100	Metabolic pathways
TRINITY_DN2287_c0_g1	11048	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN2287_c0_g1	11048	ko01200	Carbon metabolism
TRINITY_DN79049_c0_g1	1881	ko00190	Oxidative phosphorylation
TRINITY_DN79049_c0_g1	1881	ko00195	Photosynthesis
TRINITY_DN79049_c0_g1	1881	ko01100	Metabolic pathways
TRINITY_DN11697_c0_g1	407	ko03010	Ribosome
TRINITY_DN9795_c0_g1	8033	ko03022	Basal transcription factors
TRINITY_DN70117_c0_g1	2135	ko04130	SNARE interactions in vesicular transport
TRINITY_DN21016_c1_g2	1788	ko00562	Inositol phosphate metabolism
TRINITY_DN21016_c1_g2	1788	ko01100	Metabolic pathways
TRINITY_DN21016_c1_g2	1788	ko04070	Phosphatidylinositol signaling system
TRINITY_DN3191_c0_g1	3516	ko00330	Arginine and proline metabolism
TRINITY_DN3191_c0_g1	3516	ko01100	Metabolic pathways
TRINITY_DN150_c0_g1	7713	ko00380	Tryptophan metabolism
TRINITY_DN150_c0_g1	7713	ko00630	Glyoxylate and dicarboxylate metabolism
TRINITY_DN150_c0_g1	7713	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN150_c0_g1	7713	ko01200	Carbon metabolism
TRINITY_DN150_c0_g1	7713	ko04016	MAPK signaling pathway - plant
TRINITY_DN150_c0_g1	7713	ko04146	Peroxisome
TRINITY_DN21317_c0_g1	4838	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN97116_c0_g2	9197	ko03022	Basal transcription factors
TRINITY_DN97116_c0_g1	9196	ko03022	Basal transcription factors
TRINITY_DN26556_c0_g1	11427	ko00010	Glycolysis / Gluconeogenesis
TRINITY_DN26556_c0_g1	11427	ko00030	Pentose phosphate pathway
TRINITY_DN26556_c0_g1	11427	ko00051	Fructose and mannose metabolism
TRINITY_DN26556_c0_g1	11427	ko00052	Galactose metabolism
TRINITY_DN26556_c0_g1	11427	ko01100	Metabolic pathways
TRINITY_DN26556_c0_g1	11427	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN26556_c0_g1	11427	ko01200	Carbon metabolism
TRINITY_DN26556_c0_g1	11427	ko01230	Biosynthesis of amino acids
TRINITY_DN26556_c0_g1	11427	ko03018	RNA degradation
TRINITY_DN6616_c0_g1	7470	ko03030	DNA replication
TRINITY_DN6616_c0_g1	7470	ko03420	Nucleotide excision repair
TRINITY_DN6616_c0_g1	7470	ko03430	Mismatch repair
TRINITY_DN35562_c0_g1	11350	ko03040	Spliceosome
TRINITY_DN27102_c0_g1	3689	ko03013	RNA transport
TRINITY_DN24638_c0_g1	8817	ko00500	Starch and sucrose metabolism
TRINITY_DN9870_c2_g1	10892	ko00290	Valine, leucine and isoleucine biosynthesis
TRINITY_DN9870_c2_g1	10892	ko00650	Butanoate metabolism
TRINITY_DN9870_c2_g1	10892	ko00660	C5-Branched dibasic acid metabolism
TRINITY_DN9870_c2_g1	10892	ko00770	Pantothenate and CoA biosynthesis
TRINITY_DN9870_c2_g1	10892	ko01100	Metabolic pathways
TRINITY_DN9870_c2_g1	10892	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN9870_c2_g1	10892	ko01210	2-Oxocarboxylic acid metabolism
TRINITY_DN9870_c2_g1	10892	ko01230	Biosynthesis of amino acids
TRINITY_DN7756_c0_g2	5507	ko03440	Homologous recombination
TRINITY_DN129412_c0_g1	13012	ko03010	Ribosome
TRINITY_DN9524_c0_g1	9963	ko01100	Metabolic pathways
TRINITY_DN16550_c0_g1	4022	ko03410	Base excision repair
TRINITY_DN3404_c0_g2	4287	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN3404_c0_g2	4287	ko04145	Phagosome
TRINITY_DN2392_c0_g1	6175	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN2660_c0_g2	7105	ko03040	Spliceosome
TRINITY_DN2660_c0_g2	7105	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN2660_c0_g2	7105	ko04144	Endocytosis
TRINITY_DN58423_c0_g1	7067	ko00511	Other glycan degradation
TRINITY_DN66_c0_g1	237	ko04626	Plant-pathogen interaction
TRINITY_DN66_c0_g2	238	ko04626	Plant-pathogen interaction
TRINITY_DN12355_c1_g1	4909	ko01100	Metabolic pathways
TRINITY_DN1683_c0_g1	11995	ko00500	Starch and sucrose metabolism
TRINITY_DN53633_c0_g1	11255	ko00260	Glycine, serine and threonine metabolism
TRINITY_DN53633_c0_g1	11255	ko01100	Metabolic pathways
TRINITY_DN246564_c0_g1	13251	ko03010	Ribosome
TRINITY_DN27028_c0_g1	8116	ko03013	RNA transport
TRINITY_DN2702_c0_g1	2417	ko03015	mRNA surveillance pathway
TRINITY_DN6638_c1_g1	7480	ko04075	Plant hormone signal transduction
TRINITY_DN25163_c0_g1	5434	ko00730	Thiamine metabolism
TRINITY_DN25163_c0_g1	5434	ko00900	Terpenoid backbone biosynthesis
TRINITY_DN25163_c0_g1	5434	ko01100	Metabolic pathways
TRINITY_DN25163_c0_g1	5434	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN34914_c0_g1	6924	ko00901	Indole alkaloid biosynthesis
TRINITY_DN34914_c0_g1	6924	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN4227_c2_g2	1498	ko04075	Plant hormone signal transduction
TRINITY_DN4227_c2_g1	1499	ko04075	Plant hormone signal transduction
TRINITY_DN11297_c0_g1	2012	ko00220	Arginine biosynthesis
TRINITY_DN11297_c0_g1	2012	ko00250	Alanine, aspartate and glutamate metabolism
TRINITY_DN11297_c0_g1	2012	ko00270	Cysteine and methionine metabolism
TRINITY_DN11297_c0_g1	2012	ko00330	Arginine and proline metabolism
TRINITY_DN11297_c0_g1	2012	ko00350	Tyrosine metabolism
TRINITY_DN11297_c0_g1	2012	ko00360	Phenylalanine metabolism
TRINITY_DN11297_c0_g1	2012	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
TRINITY_DN11297_c0_g1	2012	ko00710	Carbon fixation in photosynthetic organisms
TRINITY_DN11297_c0_g1	2012	ko00950	Isoquinoline alkaloid biosynthesis
TRINITY_DN11297_c0_g1	2012	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis
TRINITY_DN11297_c0_g1	2012	ko01100	Metabolic pathways
TRINITY_DN11297_c0_g1	2012	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN11297_c0_g1	2012	ko01200	Carbon metabolism
TRINITY_DN11297_c0_g1	2012	ko01210	2-Oxocarboxylic acid metabolism
TRINITY_DN11297_c0_g1	2012	ko01230	Biosynthesis of amino acids
TRINITY_DN46461_c0_g1	1713	ko00260	Glycine, serine and threonine metabolism
TRINITY_DN46461_c0_g1	1713	ko00630	Glyoxylate and dicarboxylate metabolism
TRINITY_DN46461_c0_g1	1713	ko01100	Metabolic pathways
TRINITY_DN46461_c0_g1	1713	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN46461_c0_g1	1713	ko01200	Carbon metabolism
TRINITY_DN19073_c0_g1	11103	ko04016	MAPK signaling pathway - plant
TRINITY_DN19073_c0_g1	11103	ko04075	Plant hormone signal transduction
TRINITY_DN16205_c0_g1	1053	ko00564	Glycerophospholipid metabolism
TRINITY_DN16205_c0_g1	1053	ko00565	Ether lipid metabolism
TRINITY_DN16205_c0_g1	1053	ko01100	Metabolic pathways
TRINITY_DN16205_c0_g1	1053	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN16205_c0_g1	1053	ko04144	Endocytosis
TRINITY_DN8922_c0_g1	11011	ko00600	Sphingolipid metabolism
TRINITY_DN8922_c0_g1	11011	ko01100	Metabolic pathways
TRINITY_DN49881_c0_g1	1084	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
TRINITY_DN49881_c0_g1	1084	ko01100	Metabolic pathways
TRINITY_DN49881_c0_g1	1084	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN49881_c0_g1	1084	ko01230	Biosynthesis of amino acids
TRINITY_DN24213_c0_g1	10288	ko03013	RNA transport
TRINITY_DN34729_c0_g1	11568	ko00564	Glycerophospholipid metabolism
TRINITY_DN96875_c0_g2	7846	ko00010	Glycolysis / Gluconeogenesis
TRINITY_DN96875_c0_g2	7846	ko00260	Glycine, serine and threonine metabolism
TRINITY_DN96875_c0_g2	7846	ko01100	Metabolic pathways
TRINITY_DN96875_c0_g2	7846	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN96875_c0_g2	7846	ko01200	Carbon metabolism
TRINITY_DN96875_c0_g2	7846	ko01230	Biosynthesis of amino acids
TRINITY_DN39503_c0_g1	7331	ko00562	Inositol phosphate metabolism
TRINITY_DN39503_c0_g1	7331	ko01100	Metabolic pathways
TRINITY_DN39503_c0_g1	7331	ko04070	Phosphatidylinositol signaling system
TRINITY_DN38868_c2_g1	3057	ko00330	Arginine and proline metabolism
TRINITY_DN38868_c2_g1	3057	ko00480	Glutathione metabolism
TRINITY_DN38868_c2_g1	3057	ko01100	Metabolic pathways
TRINITY_DN38868_c2_g1	3057	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN29996_c0_g2	10693	ko00500	Starch and sucrose metabolism
TRINITY_DN29996_c0_g2	10693	ko01100	Metabolic pathways
TRINITY_DN191870_c0_g2	13060	ko03440	Homologous recombination
TRINITY_DN6270_c0_g1	11497	ko00020	Citrate cycle (TCA cycle)
TRINITY_DN6270_c0_g1	11497	ko00310	Lysine degradation
TRINITY_DN6270_c0_g1	11497	ko01100	Metabolic pathways
TRINITY_DN6270_c0_g1	11497	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN6270_c0_g1	11497	ko01200	Carbon metabolism
TRINITY_DN261391_c0_g1	13294	ko00073	Cutin, suberine and wax biosynthesis
TRINITY_DN261391_c0_g1	13294	ko04146	Peroxisome
TRINITY_DN6293_c0_g1	11492	ko03013	RNA transport
TRINITY_DN11172_c0_g1	6655	ko00260	Glycine, serine and threonine metabolism
TRINITY_DN11172_c0_g1	6655	ko01100	Metabolic pathways
TRINITY_DN11172_c0_g1	6655	ko01200	Carbon metabolism
TRINITY_DN11172_c0_g1	6655	ko01230	Biosynthesis of amino acids
TRINITY_DN490_c0_g1	809	ko03010	Ribosome
TRINITY_DN3285_c0_g1	6083	ko03010	Ribosome
TRINITY_DN1334_c1_g2	11158	ko00450	Selenocompound metabolism
TRINITY_DN1334_c1_g2	11158	ko01100	Metabolic pathways
TRINITY_DN3316_c0_g1	8940	ko04141	Protein processing in endoplasmic reticulum
TRINITY_DN5924_c3_g1	5727	ko03060	Protein export
TRINITY_DN1211_c1_g1	8393	ko00511	Other glycan degradation
TRINITY_DN33234_c0_g1	10170	ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
TRINITY_DN33234_c0_g1	10170	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN4764_c0_g1	141	ko04144	Endocytosis
TRINITY_DN43073_c0_g1	2364	ko00460	Cyanoamino acid metabolism
TRINITY_DN43073_c0_g1	2364	ko00500	Starch and sucrose metabolism
TRINITY_DN43073_c0_g1	2364	ko00940	Phenylpropanoid biosynthesis
TRINITY_DN43073_c0_g1	2364	ko01100	Metabolic pathways
TRINITY_DN43073_c0_g1	2364	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN1559_c0_g1	9139	ko00970	Aminoacyl-tRNA biosynthesis
TRINITY_DN36555_c0_g1	6538	ko01100	Metabolic pathways
TRINITY_DN17944_c1_g1	9883	ko04120	Ubiquitin mediated proteolysis
TRINITY_DN2628_c0_g1	7115	ko00380	Tryptophan metabolism
TRINITY_DN2628_c0_g1	7115	ko00906	Carotenoid biosynthesis
TRINITY_DN2628_c0_g1	7115	ko01100	Metabolic pathways
TRINITY_DN2628_c0_g1	7115	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN11679_c1_g2	428	ko03015	mRNA surveillance pathway
TRINITY_DN11679_c1_g3	427	ko03015	mRNA surveillance pathway
TRINITY_DN226023_c0_g1	13184	ko03430	Mismatch repair
TRINITY_DN380_c0_g1	10294	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN380_c0_g1	10294	ko01100	Metabolic pathways
TRINITY_DN22879_c0_g1	6001	ko00970	Aminoacyl-tRNA biosynthesis
TRINITY_DN247627_c0_g1	13519	ko00230	Purine metabolism
TRINITY_DN247627_c0_g1	13519	ko01100	Metabolic pathways
TRINITY_DN247627_c0_g1	13519	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN10746_c0_g1	5290	ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
TRINITY_DN10746_c0_g1	5290	ko01100	Metabolic pathways
TRINITY_DN8011_c0_g1	3789	ko00052	Galactose metabolism
TRINITY_DN8011_c0_g1	3789	ko00520	Amino sugar and nucleotide sugar metabolism
TRINITY_DN8011_c0_g1	3789	ko01100	Metabolic pathways
TRINITY_DN911_c0_g1	8680	ko00220	Arginine biosynthesis
TRINITY_DN911_c0_g1	8680	ko00330	Arginine and proline metabolism
TRINITY_DN911_c0_g1	8680	ko01100	Metabolic pathways
TRINITY_DN911_c0_g1	8680	ko01110	Biosynthesis of secondary metabolites
TRINITY_DN911_c0_g1	8680	ko01230	Biosynthesis of amino acids
TRINITY_DN2098_c2_g1	694	ko04016	MAPK signaling pathway - plant
TRINITY_DN3134_c0_g1	3538	ko00250	Alanine, aspartate and glutamate metabolism
